"title","object","action","food","allplay"
"bavaria","egg beater","ask","oven","sydney opera house"
"blue domed church","jar of pickles","enjoy","light bulb","acropolis of athens"
"saint petersburg","empty tin can","move","cilantro","crab"
"medina","map","step","mandarin","beijing"
"gull","street lights","sip","tomato","deer"
"chichen itza","pair of rubber gloves","cross","laundry basket","temple of besakih"
"egypt","shampoo","sound","cooker","fly"
"clams","wishbone","scorch","colander","istanbul"
"the palace of parliament","pair of dice","moan","salad spinner","lobster"
"dom","screw","discover","mint leaves","twyfelfontein"
"butterfly","ladle","trace","watermelon","chimpanzee"
"cn tower","handbasket","shop","refrigerator","the statue of liberty"
"bald eagle","thermometer","name","bachelor griller","otter"
"jackdaw","outlet","overflow","mesh skimmer","owl"
"worm","acorn","kneel","hot dog","centipede"
"blackbird","craft book","post","range hood","sloth"
"dachshund","plush dinosaur","introduce","microwave","denmark"
"greece","bread","wipe","potato","india"
"pakistan","banana","challenge","spice container","anteater"
"lizard","spool of ribbon","spray","bean","starfish"
"the blue mosque","jigsaw puzzle","sail","electric guitar","crow"
"the pyramids of giza","roll of gauze","expect","bread basket","koala"
"pig","plastic fork","fancy","sewing machine","washington dc"
"puma","jar of peanut butter","raise","dustpan","american cemetery"
"rome","bouquet of flowers","release","fish","kremlin"
"holland","apple","blind","lime","grizzly bear"
"black bird","chair","prefer","napkin","golden temple of amritsar"
"south dakota","toothpick","hook","cheese","the grand canyon"
"cormorant","lotion","grip","white wine glass","forbidden city"
"uluru","pocketwatch","fold","hot dog bun","scotland"
"tanzania","dagger","trot","toaster","pacific ocean"
"mexico","knife","sack","wall lantern","mount fuji"
"kookaburra","shopping bag","lie","breakfast burrito","platypus"
"barcelona","game cartridge","whip","jelly roll","sacrã© coeur"
"coyote","pillow","sneeze","hamburger","paris"
"dolphin","ball of yarn","colour","mushroom","mecca"
"the little mermaid","plush octopus","tickle","oven glove","stonehenge"
"cat","handful of change","visit","liquid soap","shells"
"parrot","chicken","launch","french bread","mallard"
"millau bridge","quartz crystal","bruise","french beans","japan"
"seagull","bag of rubber bands","drown","tea spoon","ephesus"
"monkey","beaded bracelet","plug","soup","tower bridge"
"canary","button","decay","broccoli","shanghai"
"ostrich","pepper shaker","hunt","green tea","potala palace"
"the prophet's mosque","ring","disarm","measuring spoon","konark sun temple"
"antarctic","sharpie","end","butter","germany"
"jordan","bottle of syrup","guess","mustard","the colosseum"
"norway","wristwatch","grate","baking tray","scorpion"
"puppy","purse","bow","air conditioner","cow"
"golden gate bridge","plush pony","nest","rice cooker","the polynesian triangle"
"bear","keyboard","ruin","bleach","toad"
"arctic wolf","lamp shade","practise","hose","beetle"
"the taj mahal","flashlight","amuse","bread","canada"
"kestrel","tissue box","hammer","cherry","alligator"
"swallow","toilet paper tube","trust","clothes dryer","waterloo"
"hyena","drawer","back","chives","goose"
"mongoose","canteen","boil","grater","brandenburg gate"
"jerusalem","ipod","terrify","apron","turtle"
"chicken","hair clip","juggle","paintbrush","hippopotamus"
"nevado mismi","bracelet","expand","beetroot","capitol hill"
"bali","cookie tin","pedal","clock","paintbrush"
"shark","sword","lock","ladle","fake flowers"
"angkor wat at cambodia","bottle of soda","settle","frying pan","rubber band"
"prairie dog","chenille stick","smash","water","food"
"dragonfly","speakers","stamp","bulb","lime"
"pompeii","box","laugh","grapefruit","lamp"
"stork","jar of jam","consider","orange juice","bottle of ink"
"blue whale","empty jar","face","kitchen shears","candy wrapper"
"the wailing wall","pair of sunglasses","shrug","dish towel","water bottle"
"kilimanjaro","carton of ice cream","judge","bread and butter knife","baseball bat"
"mink","postage stamp","jog","torch","wallet"
"badger","bonesaw","sigh","grape","magnifying glass"
"white cliffs of dover","sponge","strap","jackfruit","nail"
"pheasant","book of jokes","x-ray","pear","statuette"
"hollywood sign","whistle","inject","stove","roll of duct tape"
"cockroach","letter opener","peck","fried chicken","umbrella"
"sea lion","milk","dislike","drawer","socks"
"mount rushmore","dictionary","heap","pressure cooker","paint brush"
"guinea pig","toilet","zoom","squeegee mop","bangle bracelet"
"agia sophia","steak knife","number","bread and butter plate","perfume"
"porcupine","light bulb","crush","ice cream","turtle"
"namibia","rubber duck","disagree","peach","water"
"goat","plush dog","serve","spring onions","paperclip"
"albatross","cell phone","rain","pancake","egg"
"neuschwanstein","purse/bag","greet","cucumber","book"
"shrimp","frying pan","pretend","hanging pendant","bottle of oil"
"giraffe","class ring","admire","dinner knife","keys"
"afghanistan","shoe lace","list","chocolate milk","rock"
"swift","dolphin","promise","treadmill","bottle of nail polish"
"fox","box of tissues","attack","croissant","plush unicorn"
"jellyfish","tennis ball","play","laundry soap","toy soldier"
"agra","lighter","carve","apple","shovel"
"rat","pants","examine","vacuum cleaner","butter knife"
"st. basil's cathedral","basketball","nod","fruit","crowbar"
"bullock","kitchen knife","attract","candleholder","clay pot"
"table mountain","catalogue","untidy","lemon","squirt gun"
"russia","lip gloss","pass","timer","miniature portrait"
"parc guell","key chain","admit","green pepper","soap"
"carnac","wireless control","tap","papaya","house"
"manneken pis","pinecone","excuse","sweet potato","candy cane"
"skunk","matchbook","roll","eggplant","box of markers"
"egipt","whip","park","bay leaves","balloon"
"llama","spool of thread","hand","honey","rope"
"piazza san marco","pair of handcuffs","complain","pineapple","fork"
"great britain","sticky note","communicate","dressing","pair of socks"
"auschwitz","roll of masking tape","close","dessert fork","eraser"
"italy","cd","arrive","pot","shirt"
"minaret of jam","pack of cards","wrestle","beverage opener","mp3 player"
"fish","slipper","drop","cutlery","shirt button"
"hedgehong","stockings","bore","rosemary","mobile phone"
"mule","bow tie","present","egg","pair of scissors"
"mont st. michel","thimble","cycle","anglepoise lamp","sand paper"
"tibet","game cd","ban","red pepper","flag"
"squid","pail","slap","cloth","drill press"
"bucegi","salt shaker","complete","salad","tea pot"
"ladybug","container of pudding","sparkle","sugar","word search"
"swan","novel","disapprove","pumpkin","notebook"
"nepal","window","thaw","pretzel","plush rabbit"
"the empire state building","pasta strainer","connect","onion","grid paper"
"easter island","radio","jump","tossed salad","glasses"
"zebra","roll of stickers","argue","pomegranate","hop"
"flamingo","bell","sniff","fan","decorate"
"new zealand","roll of toilet paper","harm","coffee maker","trip"
"bat","cup","poke","water cooler","buzz"
"atomium","bottle of sunscreen","kick","brussels sprout","record"
"big ben","candy bar","pump","telephone","tempt"
"falcon","hamster","knit","avocado","beam"
"finch","grocery list","behave","coffee cup","approve"
"ireland","orange","explain","porridge","bomb"
"vinson massif","fridge","smile","green chili","tug"
"berlin","white out","hang","soda","question"
"dog","cookie jar","hope","kiwi","fire"
"dove,","box of chalk","telephone","red wine glass","exercise"
"horse","computer","frame","stepladder","flower"
"antelope","stick of incense","recognise","aroma lamp","treat"
"luxor temple","laser pointer","smoke","toast","suit"
"gorilla","carrots","transport","cupboard","book"
"squirrel","plush frog","rinse","curling iron","bolt"
"snake","box of chocolates","scare","cocoa","irritate"
"grasshopper","carrot","request","banana","measure"
"los angeles","toy top","strengthen","dishwasher","comb"
"sparrow","shawl","signal","sausage","undress"
"rio de janeiro","martini glass","test","fork","harass"
"transylvania","bed","drip","coconut milk","whine"
"cape of good hope","card","unpack","appliance plug","obtain"
"new york","egg timer","report","remote","reach"
"nuthatch","bottle of perfume","slow","broth","box"
"crocodile","shark","instruct","jam","preserve"
"turkey","buckle","chop","roll","boast"
"china","toe ring","hug","kitchen counter","wobble"
"octopus","monitor","mark","apricot","unite"
"duck","bandana","stay","pita","accept"
"new delhi","bottle of honey","hum","ham","melt"
"eagle","stick","pour","rubber gloves","battle"
"venice","spatula","heal","pie plate","gaze"
"peacock","camera","offend","bacon","wriggle"
"newt","piece of gum","stroke","lamp","brush"
"frog","sandglass","curl","pasta","float"
"goldfish","bottle of glue","place","lemonade","supply"
"inukshuk","tree","knock","zucchini","crack"
"rooster","pair of binoculars","invent","red chillies","satisfy"
"panda","rubber stamp","open","coconut","drag"
"louse","check book","identify","television","tire"
"sea anemone","clothes pin","separate","donut","train"
"piranha","toothpaste","delight","mixer","fry"
"south africa","wine glass","ignore","clove","interrupt"
"rock of gibraltar","mirror","hurry","pizza","entertain"
"gazelle","pair of glasses","occur","water purifier","breathe"
"rhinoceros","leg warmers","squeeze","fruit juice","happen"
"sheep","rug","welcome","cleaver","include"
"seahorse","tea cup","deceive","marmalade","pinch"
"spider","hair brush","head","salt","learn"
"wren","rusty nail","depend","breakfast cereal","receive"
"london","desk","grab","olive","bare"
"france","cucumber","realise","blender","vanish"
"cuckoo","video games","applaud","casserole dish","dry"
"walrus","coffee mug","decide","chocolate","warn"
"gerbil","needle","analyse","asparagus","afford"
"moth","can of chili","marry","washing machine","stain"
"tit","ipod charger","manage","burger","answer"
"peru","box of baking soda","blush","teapot","mango"
"polecat","hand fan","appreciate","carrot","chicken nugget"
"belgium","zipper","alert","butter dish","fries"
"weasel","pair of water goggles","squeak","turnip","fish and chips"
"tiger","pen","pull","tea bag","tomato juice"
"tadpole","tennis racket","reject","flour","salad fork"
"bran castle","bottle of water","curve","electric kettle","pedal bin"
"coral","harmonica","guarantee","kettle","chopping board"
"sea turtle","beef","scratch","rolling pin","starfruit"
"newgrange","rat","tow","orange","milk"
"nightingale","box of crayons","shelter","white bread","lantern"
"the great chinese wall","glass","concern","wheat bread","bagel"
"camel","pair of earrings","rhyme","muffin","measuring cup"
"armadillo","boom box","plan","drinks | image","nectarine"
"pelican","bow","tie","salad knife","spinach"
"ox","spoon","land","ironing board","lemongrass"
"angel falls","snowglobe","screw","blueberry","beer"
"bucharest","music cd","shock","chopsticks","turmeric"
"mouse","towel","store","knife","iron"
"bee","beaded necklace","surprise","roller","sandwich"
"mount eden crater","can of beans","tip","tea maker","bowl"
"romania","money","cough","juicer","grill"
"kangaroo","chalk","rock","coffee","yogurt"
"christ the redeeme","chocolate","strip","vegetable","crock pot"
"pony","glow stick","type","milkshake","whisk"
"faisal mosque","can of whipped cream","warm","french fries","ginger"
"polar bear","washcloth","clear","rye bread","dinner plate"
"mole","tooth pick","rejoice","wine","steak"
"saudi arabia","feather duster","muddle","strainer","plum"
"santorini","pop can","retire","trash can","mousetrap"
"hedgehog","phone","increase","dish soap","strawberry"
"arizona","toy car","sign","kitchen hood","wooden spoon"
"reindeer","extension cord","invite","small oven","spoon"
"moscow","clock","live","basil","whole grain bread"
"jay","paper","spark","cabbage","electric drill"
"pigeon","box of q-tips","bathe","seafood","cereal"
"indonesia","hanger","smell","smoothie","scrub brush"
"hermitage","thread","watch","breadstick","clothes iron"
"islamabad","credit card","flow","onion ring","radish"
"the louvre","nail clippers","help","iced tea","spatula"
"tower of pisa","quilt","beg","artichoke","evaporative cooler"
"brussels","bottle of paint","object","cabinet","juice"
"usa","wooden spoon","confuse","microwave oven","meat"
"elk , moose","plush bear","trick","mop","kitchen scale"
"leopard","conditioner","refuse","lettuce","cake slice"
"lotus temple","chapter book","divide","pea","cookie"
"cape town","model car","fear","green chilli","omelet"
"machu picchu","cowboy hat","remind","electric fan","speaker"
"twelve apostles","canvas","relax","dinner fork","bucket"
"lion","spool of wire","time","raspberry","corkscrew"
"al aqsa mosque","notepad","bury","rice","water goblet"
"elk","pearl necklace","want","taco","hamburger bun"
"lascaux","christmas ornament","twist","candy","saucer"
"beaver","light","cry","breakfast sandwich","shallot"
"raven","children's book","rot","melon","celery"
"petra","car","mate","tea","steak hammer"
"sagrada familia","mouse pad","man","dinner table","sponge"
"ant","toy robot","bake","corn","hot chocolate"
"vulture","hair tie","suppose","garlic","broom"
"hawk","small pouch","suffer","kebab","hair dryer"
